MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60232.197474,14.878,0.007,4062,28,o,0,25.75,41.57554,-30.23949,9269.79,1859.82,2.77,2.34,-31.8,-0.382,19.5,21.04,04a60232o0465o
60232.203436,14.862,0.006,4123,26,o,0,27.4,41.57554,-30.23949,9294.26,1742.68,2.7,2.21,-33.9,-0.383,19.55,21.08,04a60232o0478o
60233.951086,14.875,0.006,4072,26,o,0,19.79,41.57554,-30.23949,6667.73,5908.49,2.48,2.16,-50.5,-0.41,19.52,21.06,03a60234o0413o
60233.952888,14.872,0.006,4084,25,o,0,26.86,41.57554,-30.23949,6651.22,5871.59,2.49,2.15,-49.6,-0.411,19.52,21.05,03a60234o0417o
60233.97612,14.895,0.006,3999,25,o,0,27.45,41.57554,-30.23949,6715.11,5952.63,2.52,2.04,-52.9,-0.409,19.51,21.01,03a60234o0465o
60233.990507,14.863,0.006,4119,26,o,0,13.46,41.57554,-30.23949,3838.15,4727.42,2.22,2.0,-52.4,-0.427,19.57,21.0,03a60234o0495o
60236.925366,14.93,0.006,3873,25,o,0,23.62,41.57554,-30.23949,5359.62,67.3,2.1,1.93,-39.1,-0.411,19.6,20.95,03a60237o0355o
60236.92921,14.929,0.007,3878,26,o,0,53.47,41.57554,-30.23949,8659.26,10301.58,2.83,2.13,-46.5,-0.451,19.58,20.96,03a60237o0363o
60236.932096,14.916,0.007,3924,27,o,0,37.31,41.57554,-30.23949,8640.73,10262.73,2.71,2.09,-49.7,-0.436,19.59,20.94,03a60237o0369o
60236.934549,14.916,0.007,3921,26,o,0,14.24,41.57554,-30.23949,5400.16,109.29,2.15,1.96,-42.3,-0.398,19.58,20.92,03a60237o0374o
60236.935,14.964,0.007,3754,25,o,0,42.26,41.57554,-30.23949,8701.01,10343.09,2.72,2.06,-48.7,-0.433,19.58,20.92,03a60237o0375o
60236.940451,14.903,0.006,3969,26,o,0,40.87,41.57554,-30.23949,8723.6,10227.83,2.72,2.07,-47.6,-0.446,19.59,20.95,03a60237o0387o
60240.061805,14.943,0.007,3827,27,o,0,13.54,41.57554,-30.23949,6145.27,636.31,2.14,1.92,-46.3,-0.433,19.32,20.39,03a60240o0203o
60240.067032,14.957,0.007,3778,28,o,0,11.01,41.57554,-30.23949,6164.79,676.27,2.14,1.99,-33.3,-0.448,19.33,20.41,03a60240o0214o
60240.077221,14.975,0.007,3716,26,o,0,12.07,41.57554,-30.23949,6108.02,594.67,2.13,1.95,-34.6,-0.429,19.34,20.45,03a60240o0235o
60240.080569,14.945,0.007,3818,27,o,0,8.61,41.57554,-30.23949,6083.98,712.25,2.2,2.03,-40.0,-0.435,19.36,20.47,03a60240o0242o
60241.152486,14.834,0.491,4232,2076,o,0,1.27,41.57554,-30.23949,4609.27,10013.61,2.99,2.09,-75.7,-0.371,14.02,14.2,04a60241o0333o
60241.154302,15.116,0.913,3263,2979,o,0,1.1,41.57554,-30.23949,4590.13,9974.42,2.81,2.01,-77.0,-0.388,14.36,14.33,04a60241o0337o
60241.15958,14.974,0.13,3717,484,o,0,1.17,41.57554,-30.23949,4652.41,10054.37,2.97,2.03,-78.5,-0.385,15.47,15.47,04a60241o0348o
60241.165495,15.561,0.401,2165,869,o,0,0.89,41.57554,-30.23949,4675.02,9938.01,2.61,1.9,-77.4,-0.458,15.89,15.94,04a60241o0361o
60242.888571,14.996,0.008,3645,30,o,0,3.4,41.57554,-30.23949,3749.01,7479.27,2.38,2.11,-50.2,-0.385,18.86,19.4,03a60243o0270o
60242.891349,14.989,0.008,3666,30,o,0,3.77,41.57554,-30.23949,3730.9,7440.53,2.41,2.07,-51.7,-0.389,18.84,19.4,03a60243o0276o
60242.894076,14.987,0.008,3674,30,o,0,4.1,41.57554,-30.23949,3786.85,7519.71,2.41,2.09,-49.3,-0.394,18.85,19.41,03a60243o0282o
60242.913019,14.995,0.008,3648,31,o,0,3.63,41.57554,-30.23949,3812.95,7404.51,2.33,2.02,-55.4,-0.393,18.92,19.46,03a60243o0320o
60244.162176,15.005,0.015,3615,53,o,0,1.84,41.57554,-30.23949,4732.06,4103.83,2.35,2.21,-85.6,-0.409,17.76,18.61,04a60244o0374o
60244.165497,15.015,0.012,3582,44,o,0,3.01,41.57554,-30.23949,4714.39,4065.17,2.37,2.23,-84.6,-0.399,17.66,17.91,04a60244o0381o
60244.168699,15.128,0.088,3226,284,o,0,1.41,41.57554,-30.23949,4774.22,4143.33,2.32,2.19,-73.1,-0.437,15.82,15.89,04a60244o0388o
60247.216978,15.046,0.009,3481,31,o,0,14.48,41.57554,-30.23949,5930.23,4603.33,2.08,1.88,-23.4,-0.482,18.65,19.04,04a60247o0479o
